datetime,PM2.5,NO2,CO,u10,v10,t2m,ws10,wd10,rh,sp,tp,ssrd,strd,ws100,wd100,blh,O3
2022/1/5 19:00,15,7.8,0.42,-3.9334729,-2.0406973,20.433334,4.431568,62.56335,92.28347,1012.34503,0.002387911,3429.5,1315233.5,4.810708,65.19878,302.56293,92.4
2022/1/5 20:00,14.4,7.6,0.4,-3.9365535,-1.8896387,20.229637,4.3668036,64.34584,93.578735,1012.80786,0.003883615,0,1326619.2,5.087174,58.80362,294.42047,87.2
2022/1/5 21:00,14.6,9,0.4,-3.9322593,-1.6929878,20.05513,4.28147,66.69428,94.4216,1013.3104,0.005975366,0,1296397.8,5.6507173,55.202705,285.98785,80.6
2022/1/5 22:00,13.2,10.8,0.4,-3.8655083,-1.3904127,20.02063,4.108214,70.20842,94.45884,1013.56287,0.005676411,0,1320996,6.0209093,56.540504,272.89566,78.6
2022/1/5 23:00,11.4,10.4,0.4,-3.776632,-1.0564358,19.907173,3.922124,74.36862,94.568306,1013.7068,0.0032885,0,1285997.5,6.5677156,58.519188,263.28662,79.6
2022/1/6 0:00,12.8,10.6,0.4,-3.8312461,-0.4749058,19.890251,3.8627794,82.92459,94.38466,1013.62933,0,0,1301036,6.8451853,61.653393,264.6004,74.2
2022/1/6 1:00,14.2,9.4,0.4,-3.9367402,0.35609987,19.873016,3.956046,95.16117,94.160614,1013.10675,0,0,1308487.5,6.741534,64.80379,269.35147,74.4
2022/1/6 2:00,14.5,10.5,0.425,-3.7069874,1.040716,19.81694,3.8527484,105.708115,93.91907,1012.8233,0,0,1288668,6.6448402,62.558006,271.4444,70.25
2022/1/6 3:00,13,9.5,0.4,-2.3208137,1.4428067,19.561165,2.733894,121.90689,95.06016,1012.7126,0,0,1249028.5,6.715333,63.798897,249.8584,62.5
2022/1/6 4:00,13,8.25,0.4,-1.9614804,1.5001174,19.371742,2.4703658,127.4084,95.51262,1012.36945,0,0,1249169.5,6.6853585,64.76837,232.29019,54.25
2022/1/6 5:00,11.5,12,0.4,-1.6520932,1.4211092,19.189941,2.1796947,130.67946,95.98653,1012.44025,0,0,1256479,6.5337386,66.06263,204.31851,59
2022/1/6 6:00,9.5,18.75,0.4,-1.3101242,0.8484596,18.839958,1.5614281,122.76058,96.8319,1013.0115,0,0,1239330,6.2229524,70.741806,141.33261,51.75
2022/1/6 7:00,9.75,16,0.475,-1.359137,0.12420198,18.507202,1.3791023,94.1251,97.05199,1013.73114,0,0,1242984,5.827269,78.01216,92.30957,51.5
2022/1/6 8:00,8.75,22.25,0.475,-1.8321466,-0.62659454,18.365112,1.9552588,71.09735,97.190605,1014.4813,0.000135973,95211.75,1247475,5.7009206,89.81814,100.10073,45.5
